A	B	Height
-22	-78	0.161711450873275
-14	-38	0.193818665724599
-11	-75	0.216508430544326
-6	1	0.241609656363115
-59	2	0.245010264289457
-23	5	0.265699798061754
-52	-67	0.267019689178034
-21	-47	0.275531402110674
-7	-35	0.282358055728626
-76	7	0.287465335640015
-56	-69	0.299426334297266
-17	-53	0.316888689041443
-31	-33	0.32462155840384
-24	-25	0.326678608231856
-13	-62	0.326869717236449
-71	-73	0.33357852348205
-41	-58	0.33884998252163
-10	-68	0.348520214520593
-43	-50	0.348779786372091
11	15	0.349565694523711
-4	8	0.350211310535831
6	9	0.35222844486326
-28	-64	0.357789082951648
-27	-32	0.358566524354999
-12	-44	0.358932053655183
-34	-55	0.35944574056248
-61	-65	0.360543001859797
-5	-74	0.361558473774256
-77	12	0.363039756299266
10	20	0.368405458365615
-1	22	0.376968611744497
-60	13	0.378725375020287
-8	3	0.379871527425148
-54	-70	0.383788366341666
-51	19	0.38424589505402
-29	-57	0.387418671157485
-19	-20	0.387821347949153
-45	-48	0.38860377652458
-2	27	0.389471937195528
-15	-42	0.39033085919876
-36	-66	0.39123293581552
-72	-79	0.396479826892498
14	35	0.397416833422375
-39	-46	0.400971260381353
-37	24	0.404780403397399
-18	25	0.406020901425082
-3	-40	0.409629131765569
21	31	0.416838908645867
26	29	0.420090830120324
-30	-63	0.423390616508531
-16	47	0.427434461361234
23	42	0.429126293020109
30	37	0.431729067842359
-9	46	0.434074666700485
-26	50	0.439900511821652
18	28	0.440057320164811
41	49	0.441493493565152
-80	36	0.445131136904505
39	55	0.450308215246958
-49	17	0.457911993499244
4	53	0.460997020543789
32	60	0.470435573357642
34	43	0.473278137572043
54	56	0.483500287742922
51	58	0.493964695945728
16	38	0.498612614559565
45	57	0.509229393535924
40	44	0.512527609185045
65	66	0.523663999635923
52	67	0.534510629836614
68	69	0.566361859946828
61	63	0.604584504396248
33	59	0.687866598639339
64	71	0.702865398426349
48	62	0.859746911647239
72	73	0.873180994687167
70	76	1.1707715962721
74	75	1.84125213410317
77	78	3.99638943154248
